gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.5318614558275843,00003,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
4,0.4514920526274203,00021,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
5,0.4429379649597235,00025,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
6,0.4390279466521996,00030,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
9,0.43102840117683866,00041,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
19,0.41976080390026127,00083,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
25,0.41948231470749736,00106,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
30,0.41787984765772046,00126,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
31,0.4178603368837875,00129,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
35,0.4173108817708836,00145,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
40,0.4162452694304176,00167,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
44,0.41246819858474526,00183,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
45,0.407322829411688,00185,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
63,0.4071624479924121,00258,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
64,0.393529710417381,00260,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
76,0.39306831509167084,00307,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
82,0.3897119764619048,00334,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
86,0.3890384484181906,00348,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
89,0.38834275884762925,00359,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
92,0.38699166286088343,00372,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
95,0.38684822141699865,00385,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
97,0.37446453769778526,00393,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.37446453769778526,00393,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
