C:0,C:1,C:2,Points:0,Points:1,Points:2,vtkOriginalIndices
0.731765,0.323967,2.88974e-19,0.731751,0.323979,0.0141452,208
0.748822,0.327118,0,0.748806,0.327129,0.0142828,209
0.76589,0.330212,2.80808e-19,0.765872,0.330223,0.0144178,210
0.782971,0.333253,2.80808e-19,0.782958,0.333264,0.0145506,211
0.800058,0.33624,1.38019e-19,0.800044,0.336251,0.014681,212
0.817153,0.339176,1.38019e-19,0.817136,0.339186,0.0148092,213
0.834261,0.342061,1.79955e-20,0.834249,0.342072,0.0149352,214
0.851374,0.344897,3.59928e-20,0.851362,0.344907,0.015059,215
0.868494,0.347684,-2.48874e-19,0.868477,0.347694,0.0151806,216
0.885625,0.350425,-2.66871e-19,0.885614,0.350435,0.0153003,217
0.902762,0.35312,2.63034e-19,0.902751,0.35313,0.015418,218
0.919904,0.355769,2.63034e-19,0.919888,0.355778,0.0155336,219
0.937056,0.358374,-5.1821e-19,0.937046,0.358384,0.0156474,220
0.954214,0.360936,-2.96843e-19,0.954203,0.360946,0.0157592,221
0.971375,0.363456,2.21368e-19,0.971361,0.363464,0.0158692,222
0.988546,0.365934,5.07613e-19,0.988536,0.365943,0.0159774,223
1.00572,0.368371,5.07613e-19,1.00571,0.36838,0.0160838,224
1.0229,0.370768,2.50506e-19,1.02289,0.370776,0.0161884,225
1.04009,0.373125,2.50506e-19,1.04008,0.373134,0.0162914,226
1.05728,0.375444,2.47517e-19,1.05727,0.375453,0.0163926,227
1.07448,0.377725,5.29513e-19,1.07447,0.377733,0.0164922,228
1.09168,0.379969,2.45961e-19,1.09167,0.379977,0.0165901,229
1.10889,0.382175,-2.79229e-19,1.10888,0.382184,0.0166865,230
1.1261,0.384346,-2.07154e-19,1.12609,0.384354,0.0167812,231
1.14331,0.386481,7.20821e-20,1.1433,0.386489,0.0168745,232
1.16053,0.388581,-2.14873e-24,1.16053,0.388589,0.0169662,233
1.17776,0.390647,-3.60443e-20,1.17775,0.390654,0.0170563,234
1.19498,0.392678,-3.60484e-20,1.19498,0.392686,0.017145,235
1.21222,0.394676,1.63458e-19,1.21221,0.394684,0.0172323,236
1.22945,0.396641,1.99506e-19,1.22944,0.396649,0.0173181,237
1.24669,0.398574,0,1.24668,0.398581,0.0174024,238
1.26394,0.400475,0,1.26393,0.400482,0.0174854,239
1.28118,0.402343,3.60577e-20,1.28117,0.40235,0.017567,240
1.29843,0.404181,4.96102e-19,1.29842,0.404188,0.0176472,241
1.31569,0.405988,4.96106e-19,1.31568,0.405995,0.0177261,242
1.33294,0.407764,3.60612e-20,1.33293,0.407771,0.0178037,243
1.3502,0.40951,1.90995e-19,1.35019,0.409517,0.0178799,244
1.36746,0.411226,1.54929e-19,1.36746,0.411233,0.0179548,245
1.38473,0.412913,1.89204e-19,1.38472,0.41292,0.0180285,246
1.402,0.414571,2.2527e-19,1.40199,0.414578,0.0181009,247
1.41927,0.416201,-2.23482e-19,1.41926,0.416207,0.018172,248
1.43654,0.417802,-2.23482e-19,1.43654,0.417808,0.0182419,249
1.45382,0.419374,-2.21775e-19,1.45381,0.419381,0.0183106,250
1.4711,0.420919,-2.21775e-19,1.47109,0.420926,0.018378,251
1.48838,0.422437,3.60764e-20,1.48837,0.422443,0.0184443,252
1.50566,0.423927,-1.35386e-24,1.50565,0.423933,0.0185093,253
1.52295,0.425391,1.3474e-24,1.52294,0.425397,0.0185732,254
1.54023,0.426827,2.54078e-19,1.54023,0.426834,0.018636,255
1.55752,0.428238,1.81918e-19,1.55752,0.428244,0.0186975,256
1.57482,0.429622,-3.60818e-20,1.57481,0.429628,0.018758,257
1.59211,0.43098,0,1.59211,0.430986,0.0188173,258
1.60941,0.432312,-3.60855e-20,1.6094,0.432318,0.0188754,259
1.62671,0.43362,-7.21723e-20,1.6267,0.433626,0.0189325,260
1.64401,0.434901,-3.60867e-20,1.644,0.434907,0.0189885,261
1.66131,0.436158,2.13355e-19,1.6613,0.436164,0.0190433,262
1.67861,0.43739,5.93541e-22,1.67861,0.437396,0.0190971,263
1.69592,0.438597,-2.12761e-19,1.69591,0.438603,0.0191498,264
1.71323,0.43978,-3.87151e-19,1.71322,0.439786,0.0192015,265
1.73053,0.440938,-3.87151e-19,1.73053,0.440944,0.019252,266
1.74785,0.442073,-2.46646e-19,1.74784,0.442079,0.0193016,267
1.76516,0.443183,-6.66684e-19,1.76515,0.443189,0.0193501,268
1.78247,0.44427,-4.20038e-19,1.78247,0.444276,0.0193975,269
1.79979,0.445334,4.18052e-19,1.79978,0.445339,0.0194439,270
1.8171,0.446373,4.18052e-19,1.8171,0.446379,0.0194893,271
1.83442,0.44739,1.71959e-19,1.83442,0.447396,0.0195337,272
1.85174,0.448384,1.71959e-19,1.85174,0.448389,0.0195771,273
1.86906,0.449354,-4.50453e-19,1.86906,0.44936,0.0196195,274
1.88638,0.450302,-2.07619e-19,1.88638,0.450307,0.0196608,275
1.90371,0.451227,2.0673e-19,1.9037,0.451232,0.0197012,276
1.92103,0.45213,-3.6104e-20,1.92103,0.452135,0.0197406,277
1.93835,0.45301,-2.41617e-19,1.93835,0.453015,0.0197791,278
1.95568,0.453868,-2.05511e-19,1.95568,0.453873,0.0198165,279
1.97301,0.454703,-3.73441e-19,1.97301,0.454709,0.019853,280
1.99034,0.455517,-7.55733e-22,1.99033,0.455522,0.0198885,281
2.00767,0.456309,4.08792e-19,2.00767,0.456314,0.0199231,282
2.025,0.457078,4.43563e-19,2.025,0.457084,0.0199567,283
2.04233,0.457827,8.50324e-19,2.04233,0.457832,0.0199894,284
2.05966,0.458553,4.42873e-19,2.05966,0.458558,0.0200211,285
2.077,0.459258,3.61123e-20,2.07699,0.459263,0.0200519,286
2.09433,0.459942,4.04921e-19,2.09433,0.459947,0.0200817,287
2.11167,0.460604,4.04921e-19,2.11166,0.460609,0.0201106,288
2.129,0.461245,3.61158e-20,2.129,0.46125,0.0201386,289
2.14634,0.461865,3.61158e-20,2.14634,0.46187,0.0201657,290
2.16368,0.462464,-4.38885e-19,2.16367,0.462469,0.0201918,291
2.18101,0.463041,-4.38885e-19,2.18101,0.463047,0.0202171,292
2.19835,0.463598,-4.0179e-19,2.19835,0.463603,0.0202414,293
2.21569,0.464134,-4.3791e-19,2.21569,0.464139,0.0202648,294
2.23303,0.464649,-2.72703e-19,2.23303,0.464655,0.0202873,295
2.25037,0.465144,-8.0119e-19,2.25037,0.465149,0.0203088,296
2.26771,0.465618,-5.28485e-19,2.26771,0.465623,0.0203295,297
2.28506,0.466071,3.61225e-20,2.28505,0.466076,0.0203493,298
2.3024,0.466504,0,2.3024,0.466509,0.0203682,299
2.31974,0.466916,0,2.31974,0.466921,0.0203862,300
2.33708,0.467308,0,2.33708,0.467313,0.0204033,301
2.35443,0.467679,0,2.35443,0.467684,0.0204195,302
2.37177,0.46803,0,2.37177,0.468035,0.0204349,303
2.38912,0.468361,0,2.38912,0.468366,0.0204493,304
2.40646,0.468672,0,2.40646,0.468677,0.0204629,305
2.42381,0.468962,0,2.42381,0.468967,0.0204755,306
2.44115,0.469232,-3.61304e-20,2.44115,0.469237,0.0204873,307
2.4585,0.469482,1.9845e-19,2.4585,0.469487,0.0204982,308
2.47585,0.469712,3.62256e-20,2.47585,0.469717,0.0205083,309
2.49319,0.469922,-1.98355e-19,2.49319,0.469927,0.0205174,310
2.51054,0.470111,-3.61335e-20,2.51054,0.470116,0.0205257,311
2.52789,0.470281,1.98129e-19,2.52789,0.470286,0.0205331,312
2.54523,0.470431,2.34262e-19,2.54523,0.470436,0.0205397,313
2.56258,0.47056,-4.32273e-19,2.56258,0.470565,0.0205453,314
2.57988,0.47067,-3.96136e-19,2.57992,0.470675,0.0205501,315
2.59692,0.47076,3.61366e-20,2.59707,0.470765,0.020554,316
2.61369,0.470831,0,2.61359,0.470835,0.0205571,317
2.63094,0.470886,3.61385e-20,2.63052,0.47089,0.0205595,318
2.64887,0.470927,-5.71918e-25,2.64914,0.47093,0.0205613,319
2.66645,0.470949,-3.61391e-20,2.66667,0.470956,0.0205624,320
2.68333,0.470956,0,2.68333,0.470956,-0.0205624,321
2.7,0.470956,0,2.7,0.470956,-0.0205624,322
2.71667,0.470956,0,2.71667,0.470956,-0.0205624,323
2.73333,0.470956,0,2.73333,0.470956,-0.0205624,324
2.75,0.470956,3.75793e-19,2.75,0.470956,-0.0205624,325
2.76667,0.470956,1.33687e-19,2.76667,0.470956,-0.0205624,326
2.78333,0.470956,-2.42107e-19,2.78333,0.470956,-0.0205624,327
2.8,0.470956,0,2.8,0.470956,-0.0205624,328
2.81667,0.470956,0,2.81667,0.470956,-0.0205624,329
2.83333,0.470956,0,2.83333,0.470956,-0.0205624,330
2.85,0.470956,0,2.85,0.470956,-0.0205624,331
2.86667,0.470956,0,2.86667,0.470956,-0.0205624,332
2.88333,0.470956,0,2.88333,0.470956,-0.0205624,333
2.9,0.470956,0,2.9,0.470956,-0.0205624,334
2.91667,0.470956,0,2.91667,0.470956,-0.0205624,335
2.93333,0.470956,0,2.93333,0.470956,-0.0205624,336
2.95,0.470956,0,2.95,0.470956,-0.0205624,337
2.96667,0.470956,0,2.96667,0.470956,-0.0205624,338
2.98333,0.470956,4.55186e-17,2.98333,0.470956,-0.0205624,339
3,0.470956,0,3,0.470956,-0.0205624,340
3.01667,0.470956,-4.55186e-17,3.01667,0.470956,-0.0205624,341
3.03333,0.470956,-1.69827e-19,3.03333,0.470956,-0.0205624,342
3.05,0.470956,-9.1171e-17,3.05,0.470956,-0.0205624,343
3.06667,0.470956,4.48074e-19,3.06667,0.470956,-0.0205624,344
3.08333,0.470956,9.14492e-17,3.08333,0.470956,-0.0205624,345
3.1,0.470956,4.55186e-17,3.1,0.470956,-0.0205624,346
3.11667,0.470956,0,3.11667,0.470956,-0.0205624,347
3.13333,0.470956,-4.55186e-17,3.13333,0.470956,-0.0205624,348
3.15,0.470956,0,3.15,0.470956,-0.0205624,349
3.16667,0.470956,0,3.16667,0.470956,-0.0205624,350
3.18333,0.470956,0,3.18333,0.470956,-0.0205624,351
3.2,0.470956,0,3.2,0.470956,-0.0205624,352
3.21667,0.470956,0,3.21667,0.470956,-0.0205624,353
3.23333,0.470956,1.69827e-19,3.23333,0.470956,-0.0205624,354
3.25,0.470956,-7.22801e-20,3.25,0.470956,-0.0205624,355
3.26667,0.470956,-2.42107e-19,3.26667,0.470956,-0.0205624,356
3.28333,0.470956,0,3.28333,0.470956,-0.0205624,357
3.3,0.470956,0,3.3,0.470956,-0.0205624,358
3.31667,0.470956,0,3.31667,0.470956,-0.0205624,359
3.33333,0.470956,0,3.33333,0.470956,-0.0205624,360
3.35,0.470956,0,3.35,0.470956,-0.0205624,361
3.36667,0.470956,0,3.36667,0.470956,-0.0205624,362
3.38333,0.470956,0,3.38333,0.470956,-0.0205624,363
3.4,0.470956,0,3.4,0.470956,-0.0205624,364
3.41667,0.470956,0,3.41667,0.470956,-0.0205624,365
3.43333,0.470956,0,3.43333,0.470956,-0.0205624,366
3.45,0.470956,0,3.45,0.470956,-0.0205624,367
3.46667,0.470956,0,3.46667,0.470956,-0.0205624,368
3.48333,0.470956,-9.14492e-17,3.48333,0.470956,-0.0205624,369
3.5,0.470956,1.6983e-19,3.5,0.470956,-0.0205624,370
3.51667,0.470956,9.1619e-17,3.51667,0.470956,-0.0205624,371
3.53333,0.470956,2.42107e-19,3.53333,0.470956,-0.0205624,372
3.55,0.470956,2.42107e-19,3.55,0.470956,-0.0205624,373
3.56667,0.470956,0,3.56667,0.470956,-0.0205624,374
3.58333,0.470956,0,3.58333,0.470956,-0.0205624,375
3.6,0.470956,0,3.6,0.470956,-0.0205624,376
3.61667,0.470956,0,3.61667,0.470956,-0.0205624,377
3.63333,0.470956,9.14492e-17,3.63333,0.470956,-0.0205624,378
3.65,0.470956,2.05961e-19,3.65,0.470956,-0.0205624,379
3.66667,0.470956,-9.12432e-17,3.66667,0.470956,-0.0205624,380
3.68333,0.470956,0,3.68333,0.470956,-0.0205624,381
3.7,0.470956,0,3.7,0.470956,-0.0205624,382
3.71667,0.470956,1.69827e-19,3.71667,0.470956,-0.0205624,383
3.73333,0.470956,-7.22801e-20,3.73333,0.470956,-0.0205624,384
3.75,0.470956,-7.22801e-20,3.75,0.470956,-0.0205624,385
3.76667,0.470956,4.54464e-17,3.76667,0.470956,-0.0205624,386
3.78333,0.470956,-2.42109e-19,3.78333,0.470956,-0.0205624,387
3.8,0.470956,-4.55186e-17,3.8,0.470956,-0.0205624,388
3.81667,0.470956,0,3.81667,0.470956,-0.0205624,389
3.83333,0.470956,9.12432e-17,3.83333,0.470956,-0.0205624,390
3.85,0.470956,-2.05961e-19,3.85,0.470956,-0.0205624,391
