gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.13785223997638404,00008,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
2,0.13662506995084125,00017,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
4,0.13628404465644162,00028,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
49,0.12196913091603047,00247,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
51,0.11524058768605083,00261,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
52,0.10789253144679191,00265,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
57,0.10727303075826368,00289,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
63,0.10563447343956221,00316,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
71,0.10556426317965462,00359,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
91,0.10509144053095067,00451,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
95,0.10506780060987723,00470,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
98,0.10419682890080602,00487,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
100,0.10419682890080602,00487,10,2,5,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
