gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.45671579201106766,00001,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
2,0.1878323024586131,00016,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
7,0.18771592104707535,00033,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
8,0.16814136181749786,00039,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
16,0.14744007762226904,00072,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
17,0.1468448582374622,00075,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
22,0.14643701424858668,00093,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
24,0.1461869933418961,00103,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
35,0.14284753479936846,00145,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
36,0.13082160076838242,00150,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
37,0.12072217575761028,00153,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
46,0.11945183622386549,00189,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
49,0.119252189339505,00203,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
57,0.11848206503280578,00233,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
59,0.11590565414523765,00241,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
82,0.11478316046340695,00333,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.11478316046340695,00333,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
