RXX,RXY,RXZ,RYY,RYZ,RZZ
5.146722050000000293e-04,-1.275068549999999940e-04,-3.683175503000000234e-07,-3.771638926000000103e-04,5.411279261000000442e-07,1.486051306999999919e-06
5.118462391000000444e-04,-2.450190403000000110e-04,-1.393378736999999919e-06,-3.414979011000000234e-04,1.143222081999999971e-06,-3.952053457000000202e-05
5.044242115999999533e-04,-2.771718667999999879e-04,-7.375566641000000383e-07,-3.655978385999999916e-04,4.969693711999999675e-07,-7.438753896000000637e-05
4.942001041999999518e-04,-2.975059524000000025e-04,-7.729716361000000458e-07,-3.461776847000000152e-04,4.609359571999999853e-07,-8.624298241999999760e-05
4.830344785999999874e-04,-3.205772810000000195e-04,2.037939120999999984e-07,-3.179740233000000063e-04,1.109356923000000011e-07,-1.038578742000000060e-04
4.745051104000000256e-04,-3.327822147000000200e-04,-5.568534106999999871e-07,-2.589140572000000074e-04,3.090285435999999875e-07,-7.561703839999999485e-05
4.696885326000000251e-04,-3.373815765000000148e-04,-1.698121441000000054e-06,-1.983860856000000100e-04,8.984235033999999495e-07,-5.195997849000000026e-06
4.602063250000000072e-04,-3.638546737000000189e-04,3.906016079000000050e-07,-2.104665077999999935e-04,2.457531865000000052e-07,-5.449398164999999712e-05
4.539475214999999855e-04,-3.767505291000000016e-04,5.353133568000000050e-07,-1.823747328000000010e-04,3.630457574999999745e-07,-3.171020610000000145e-05
4.479762435999999756e-04,-3.888729269000000175e-04,9.611034008000000618e-08,-1.582042645000000054e-04,6.518135739000000636e-08,-3.359340894000000077e-06
4.433454285999999917e-04,-3.978555583999999774e-04,5.162200038000000239e-07,-1.406847211999999990e-04,3.801748266000000022e-07,-3.673906313000000189e-05
4.388725811000000233e-04,-4.064476484000000261e-04,5.145854471999999954e-07,-1.239811299999999999e-04,3.789710427999999930e-07,-7.764221021000000048e-05
4.158972701999999943e-04,-4.118712654999999835e-04,6.743076340999999698e-07,-9.443946250000000348e-05,1.922658765999999957e-06,-4.379437260999999819e-05
4.292948581999999833e-04,-4.234951085000000239e-04,1.016239047999999934e-07,-9.327824997000000483e-05,8.194549968000000268e-08,-1.601469486999999956e-04
4.248772054999999832e-04,-4.321725328999999880e-04,2.891697098000000047e-07,-7.716545046000000034e-05,2.331750233000000109e-07,-1.996580990000000025e-04
3.831475020000000230e-04,-4.340704553000000092e-04,1.177768746000000101e-06,-3.350455768999999813e-05,3.673136689999999932e-06,-8.438959812000000171e-05
3.851004084999999763e-04,-4.443163623999999757e-04,9.376154148000000018e-07,-2.454490886999999961e-05,2.924164520999999830e-06,-1.583049285000000109e-04
4.091408889999999742e-04,-4.586715339999999940e-04,1.217499005999999931e-07,-3.176423560999999842e-05,1.074171804999999946e-07,-3.237221024000000208e-04
3.529264567999999954e-04,-4.566269883000000128e-04,1.172617959000000035e-06,2.432890163999999844e-05,3.966149782000000403e-06,-1.376847015999999990e-04
3.301031398999999984e-04,-4.621238198000000136e-04,1.148620890000000076e-06,5.321475859000000244e-05,3.884984413000000177e-06,-1.049040871999999984e-04
3.664248418000000005e-04,-4.807245536000000164e-04,9.341100086999999264e-09,3.466315678999999975e-05,3.159443515999999864e-08,-3.394235736000000099e-04
3.242455865999999891e-04,-4.794487941999999760e-04,3.601718397000000208e-07,8.043019347999999361e-05,1.307102223999999966e-06,-2.073285988000000133e-04
2.737205895999999822e-04,-4.768450492000000235e-04,8.612102625999999881e-07,1.335263910000000049e-04,3.125424381999999899e-06,-3.751560459999999763e-05
2.978031876999999873e-04,-4.944128383999999874e-04,7.647967417000000476e-08,1.243044829999999888e-04,2.153620427000000117e-08,-2.321662515999999888e-04
2.756093336999999887e-04,-4.965848866999999925e-04,1.741088804000000090e-07,1.542988401999999932e-04,4.902798624999999712e-08,-1.938239471999999978e-04
2.339639765000000107e-04,-4.926767492000000501e-04,3.586825640000000163e-07,2.015463092000000065e-04,1.378000090999999990e-06,-5.174139204999999957e-05
2.313129851999999880e-04,-5.032149566000000424e-04,1.255872908000000049e-07,2.152906338000000117e-04,6.132501227999999420e-08,-1.250424291999999897e-04
2.095243283000000005e-04,-5.036433815999999874e-04,5.721502988999999494e-07,2.463980939000000206e-04,2.793843539000000009e-07,-8.809523876000000062e-05
1.877356713000000079e-04,-5.040718067000000187e-04,1.933176379999999948e-07,2.775055540000000024e-04,9.439813891999999860e-08,-5.114804829999999831e-05
1.659148704000000106e-04,-5.044393760999999659e-04,1.555790015999999936e-07,3.092581783999999857e-04,1.038236820000000017e-07,-1.631824624000000076e-05
1.447272909000000098e-04,-5.024078041999999579e-04,7.321883015999999951e-07,3.418430085999999844e-04,4.886166166000000205e-07,-1.574284487999999961e-05
1.240663711000000008e-04,-5.005800437000000342e-04,4.034075550999999772e-07,3.742552309000000076e-04,2.692089375000000235e-07,-4.702370084000000058e-05
1.083770779999999959e-04,-4.944091518999999728e-04,2.819727924000000262e-07,4.018959349000000131e-04,4.426078560000000221e-07,-4.493532493999999929e-05
8.171061477999999470e-05,-4.894752099000000082e-04,5.709405575999999817e-07,4.416720142999999818e-04,4.458769180000000098e-07,-1.125219387999999943e-04
6.025396372000000250e-05,-4.834571831000000221e-04,4.953904200000000323e-07,4.766642573999999846e-04,3.868759203000000155e-07,-1.419172118999999916e-04
5.455729243000000095e-05,-4.715134497000000131e-04,9.286801768000000448e-07,4.956236236000000290e-04,1.255682275000000078e-06,-5.447420639999999711e-05
1.680806225000000098e-05,-4.587484940999999889e-04,1.803263239000000118e-07,5.462642817999999742e-04,1.450467953999999928e-07,-2.116331093000000112e-04
-6.370941694999999589e-06,-4.460753838999999927e-04,8.287959028000000340e-07,5.845827396999999769e-04,6.666480361000000479e-07,-2.387337039000000070e-04
-2.426764384000000102e-05,-4.320236255000000150e-04,3.365907573999999983e-07,6.171691895999999655e-04,3.673846320999999875e-07,-2.233992982000000053e-04
-2.976958584000000154e-05,-4.068186717000000173e-04,1.439196956000000098e-06,6.343019769999999830e-04,1.570865606999999930e-06,-1.178749025000000022e-04
-7.654961123000000596e-05,-3.781102409000000044e-04,6.332182379000000471e-07,6.878448016999999613e-04,5.921108917000000074e-08,-3.365363557999999952e-04
-1.040968211000000050e-04,-3.449770434999999895e-04,4.640511084000000055e-07,7.129734264000000448e-04,4.339257765999999691e-08,-3.607277810000000004e-04
-9.878154175000000540e-05,-3.070608538999999751e-04,1.745306461000000082e-06,6.951748169000000191e-04,2.093634921000000104e-06,-1.089654967999999940e-04
-1.217886080999999949e-04,-2.632304039999999973e-04,1.184789144000000081e-06,7.082972091999999728e-04,1.421249494000000015e-06,-2.029952994999999997e-04
-1.566806614000000055e-04,-2.171219179000000101e-04,8.028147756999999757e-07,7.304875255000000019e-04,-2.616863977999999761e-07,-3.951275088999999939e-04
-1.759762900000000037e-04,-1.714045752999999951e-04,2.367407786999999961e-07,7.264746724999999799e-04,4.086734592000000101e-07,-3.629254099000000090e-04
-1.684258195999999977e-04,-1.309317580999999956e-04,1.772593306999999945e-06,6.884173774000000101e-04,3.059936873999999847e-06,-5.529582888000000146e-05
-1.808289574000000017e-04,-8.547167441999999852e-05,1.034072559999999963e-06,6.769866292000000169e-04,1.785066403000000064e-06,-1.838142572000000120e-04
-1.976512819000000019e-04,-3.938705065999999953e-05,3.283542603000000052e-07,6.710785727000000275e-04,-1.726006757000000023e-07,-3.733161468999999784e-04
-2.087098086999999882e-04,-1.519459320000000050e-06,3.318086848999999775e-07,6.588436741999999669e-04,7.077134165000000342e-07,-3.024405383000000180e-04
-2.107157268000000032e-04,2.945398035999999861e-05,1.335419207999999962e-06,6.375041816999999899e-04,2.848310286000000157e-06,-6.568489547999999654e-05
-2.142837227000000044e-04,6.711775469000000197e-05,9.645738731999999715e-07,6.201094210000000339e-04,2.057335754999999978e-06,-1.337573943000000131e-04
-2.184668194000000054e-04,1.074159876999999951e-04,5.250790377000000067e-08,6.042679806999999613e-04,1.119938978999999957e-07,-3.218623258000000045e-04
-2.263861530000000092e-04,1.377492533000000056e-04,2.981305278000000029e-07,5.921640159999999944e-04,6.946937023999999979e-07,-2.550173937000000247e-04
-2.322497899000000013e-04,1.623030474000000027e-04,1.010274580999999895e-06,5.768032722000000345e-04,2.354107759999999817e-06,-6.164934490999999400e-05
-2.318724061000000008e-04,1.936003497000000125e-04,7.589942691999999602e-07,5.593414259000000378e-04,1.768582851000000044e-06,-1.105297690999999935e-04
-2.284975341999999951e-04,2.281364788000000130e-04,4.499268504999999766e-08,5.408704451999999567e-04,1.048404375000000032e-07,-2.757592559999999938e-04
-2.354332453999999971e-04,2.520133104999999936e-04,3.505160131000000027e-07,5.291189511000000522e-04,8.931750876000000502e-07,-1.793964645000000022e-04
-2.436749165000000089e-04,2.724081149999999993e-04,8.953101102999999753e-07,5.173436111999999776e-04,2.281404148000000099e-06,-1.192400879999999941e-05
-2.363455066999999932e-04,3.010419686000000042e-04,4.150233616000000061e-07,4.984124362000000004e-04,1.057550906000000048e-06,-1.335333500000000079e-04
-2.313676048999999992e-04,3.285175909999999821e-04,3.353690855999999911e-08,4.813653769000000165e-04,9.264657049999999945e-08,-2.294147361999999924e-04
-2.409868925999999892e-04,3.464395142999999750e-04,4.750081114000000264e-07,4.717399884999999983e-04,1.312222096999999911e-06,-8.078064553000000102e-05
-2.407015489000000085e-04,3.677136401000000035e-04,5.096681865000000229e-07,4.574182183999999794e-04,1.407971444000000077e-06,-5.705322045000000148e-05
-2.283364839000000029e-04,3.930761228999999799e-04,4.818007371000000212e-08,4.373687260000000171e-04,1.330986899000000116e-07,-1.856623751000000097e-04
-2.348764505000000080e-04,4.111705488999999785e-04,2.839390890000000174e-07,4.276861363000000250e-04,8.157913339999999964e-07,-1.013092160999999977e-04
