gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.7737758957181793,00003,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
2,0.7366415874588492,00016,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
4,0.5822604809857946,00022,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
50,0.6237500110603927,00205,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
80,0.6408278051757679,00134,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
85,0.712630822465464,00348,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
88,0.7272115008014722,00357,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
93,0.7294757156621557,00378,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
98,0.7191306264875714,00398,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
99,0.6198255606680164,00401,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.7191306264875714,00398,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
