gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,1.1079330675346808,00012,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
2,1.0671708680128082,00015,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
3,1.0166595463095416,00020,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
4,1.015626350966457,00024,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
5,0.9493353063769219,00027,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
19,0.9489592696891781,00082,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
24,0.9481791832161511,00103,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
28,0.918947605121076,00120,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
39,0.9055077241667053,00161,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
43,0.9013330848516393,00177,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
45,0.9010115151886192,00187,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
50,0.9004985075347768,00205,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
54,0.8866337590652043,00222,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
62,0.8790778392281778,00254,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
65,0.8580245554243385,00267,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
72,0.8517936963673043,00294,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
80,0.8490908488780727,00326,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
81,0.8097179080686198,00332,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
94,0.7923574953803724,00382,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
95,0.7720108067375565,00385,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
96,0.7701264368899257,00389,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
99,0.7517289055818261,00401,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.7517289055818261,00401,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
