4.17 	0.4913 	0 	0.0035268817 	-0.0016639369 	1.8502987e-06 	0.003502517 	-3.9256975e-06 	0.0012113704
4.27 	0.4913 	0 	0.0035561672 	-0.0016760273 	1.6915414e-06 	0.0035324823 	-3.5875613e-06 	0.0012858299
4.37 	0.4913 	-1.7347235e-18 	0.0035828626 	-0.0016870538 	1.5444983e-06 	0.0035598422 	-3.2736685e-06 	0.0013603447
4.47 	0.4913 	-3.469447e-18 	0.0036071905 	-0.0016971064 	1.4080734e-06 	0.0035848227 	-2.9819776e-06 	0.0014348652
4.57 	0.4913 	-4.3368087e-18 	0.0036293699 	-0.00170627 	1.2813634e-06 	0.003607643 	-2.7108401e-06 	0.0015093602
4.67 	0.4913 	-5.2041704e-18 	0.0036496153 	-0.0017146311 	1.1636665e-06 	0.0036285162 	-2.4589888e-06 	0.0015838105
4.77 	0.4913 	-5.2041704e-18 	0.0036681028 	-0.0017222608 	1.0545385e-06 	0.0036476156 	-2.2255315e-06 	0.0016581896
4.87 	0.4913 	-6.0715322e-18 	0.00368496 	-0.0017292092 	9.5366173e-07 	0.0036650677 	-2.0097644e-06 	0.001732461
4.97 	0.4913 	-4.3368087e-18 	0.0037002939 	-0.0017355186 	8.6062006e-07 	0.0036809793 	-1.8107939e-06 	0.0018065889
5.07 	0.5013 	-2.6020852e-18 	0.0028630797 	-0.0013455626 	-1.9043557e-07 	0.0028377379 	4.2323408e-07 	0.00010917021
5.17 	0.5013 	-8.6736174e-19 	0.0029047983 	-0.0013643796 	-1.8763501e-07 	0.0028795587 	4.1822173e-07 	0.00011106183
5.27 	0.5013 	2.6020852e-18 	0.0029444487 	-0.0013822216 	-1.8477096e-07 	0.0029193252 	4.1284304e-07 	0.00011287362
5.37 	0.5013 	8.6736174e-19 	0.002982148 	-0.0013991533 	-1.8184766e-07 	0.0029571533 	4.0716415e-07 	0.00011460916
5.47 	0.5013 	1.7347235e-18 	0.0030180081 	-0.001415234 	-1.7890967e-07 	0.0029931525 	4.0124847e-07 	0.00011627199
