RXX,RXY,RXZ,RYY,RYZ,RZZ
1.612698171000000050e-03,-1.275068549999999940e-04,-3.683175503000000234e-07,7.189912754999999711e-04,1.063358995000000074e-06,1.181240061999999956e-04
1.688997492000000010e-03,-2.450190403000000110e-04,-1.393378736999999919e-06,8.343681191999999594e-04,2.029550110999999991e-06,4.634201741999999973e-04
1.681904806999999936e-03,-2.771718667999999879e-04,-7.375566641000000383e-07,8.112829436999999559e-04,9.104346270000000361e-07,7.884417004999999881e-04
1.672160453999999930e-03,-2.975059524000000025e-04,-7.729716361000000458e-07,8.312366561999999992e-04,8.683488566999999880e-07,8.052907356000000303e-04
1.661655510000000077e-03,-3.205772810000000195e-04,2.037939120999999984e-07,8.601160090000000346e-04,-6.245767785000000121e-07,7.962102107999999550e-04
1.660696310999999975e-03,-3.327822147000000200e-04,-5.568534106999999871e-07,9.260782999000000083e-04,5.883984635000000393e-07,4.816817937999999868e-04
1.669369401000000107e-03,-3.373815765000000148e-04,-1.698121441000000054e-06,9.990800643000000668e-04,1.715542470000000034e-06,3.268252518000000289e-05
1.659932714999999993e-03,-3.638546737000000189e-04,3.906016079000000050e-07,9.876514004999998979e-04,-1.132890218000000078e-06,3.014509665000000230e-04
1.664441846000000100e-03,-3.767505291000000016e-04,5.353133568000000050e-07,1.026168995999999969e-03,-1.517548887000000072e-06,1.555358025000000129e-04
1.670084675999999966e-03,-3.888729269000000175e-04,9.611034008000000618e-08,1.061613295000000002e-03,-2.724612374999999818e-07,1.699730925000000103e-05
1.675272012999999951e-03,-3.978555583999999774e-04,5.162200038000000239e-07,1.089134299999999951e-03,-1.426176194000000040e-06,8.959685975999999734e-05
1.680346258999999929e-03,-4.064476484000000261e-04,5.145854471999999954e-07,1.115632115000000056e-03,-1.421660356000000060e-06,1.878807468000000106e-04
1.667425032000000029e-03,-4.118712654999999835e-04,6.743076340999999698e-07,1.154989738000000016e-03,-6.169783322999999529e-07,1.068648670000000038e-04
1.691220767999999973e-03,-4.234951085000000239e-04,1.016239047999999934e-07,1.167286476000000068e-03,-2.714031717000000151e-07,3.877255963999999750e-04
1.697788833999999908e-03,-4.321725328999999880e-04,2.891697098000000047e-07,1.194621119000000052e-03,-7.722747573000000286e-07,4.830673735000000271e-04
1.667917557000000040e-03,-4.340704553000000092e-04,1.177768746000000101e-06,1.249369156999999980e-03,-7.223480087999999936e-07,2.055933734000000017e-04
1.682019082999999977e-03,-4.443163623999999757e-04,9.376154148000000018e-07,1.270931069000000042e-03,-5.750573958000000027e-07,3.818004487999999952e-04
1.718240266000000023e-03,-4.586715339999999940e-04,1.217499005999999931e-07,1.276940429000000083e-03,-3.095420849999999973e-07,7.783183117999999470e-04
1.675306642999999920e-03,-4.566269883000000128e-04,1.172617959000000035e-06,1.345085012999999935e-03,-3.215660960000000131e-07,3.327341716999999781e-04
1.666138457000000076e-03,-4.621238198000000136e-04,1.148620890000000076e-06,1.387380875000000097e-03,-3.149853987000000174e-07,2.505814990999999815e-04
1.716334521999999998e-03,-4.807245536000000164e-04,9.341100086999999264e-09,1.384179663000000091e-03,-2.561602496000000122e-09,8.042341910999999989e-04
1.688464881999999926e-03,-4.794487941999999760e-04,3.601718397000000208e-07,1.443383267999999919e-03,3.545642468000000169e-08,4.926532763000000380e-04
1.652521975999999898e-03,-4.768450492000000235e-04,8.612102625999999881e-07,1.509942045000000049e-03,8.478018946000000197e-08,8.977208956999999730e-05
1.692193443000000004e-03,-4.944128383999999874e-04,7.647967417000000476e-08,1.517503951000000011e-03,-1.665172674999999990e-07,5.375579451000000271e-04
1.685521944000000069e-03,-4.965848866999999925e-04,1.741088804000000090e-07,1.562750245000000008e-03,-3.790828781999999782e-07,4.495657085999999890e-04
1.659104814000000004e-03,-4.926767492000000501e-04,3.586825640000000163e-07,1.624303569000000013e-03,1.764972267000000132e-07,1.230161451999999889e-04
1.673082361000000073e-03,-5.032149566000000424e-04,1.255872908000000049e-07,1.655085351000000048e-03,-2.073750826999999874e-07,2.808558213000000078e-04
1.667921268999999953e-03,-5.036433815999999874e-04,5.721502988999999494e-07,1.702562763999999895e-03,-9.447589384000000428e-07,1.992917680000000076e-04
1.662760176000000053e-03,-5.040718067000000187e-04,1.933176379999999948e-07,1.750040176999999959e-03,-3.192143163000000087e-07,1.177277146999999939e-04
1.657909412000000034e-03,-5.044393760999999659e-04,1.555790015999999936e-07,1.798513832999999989e-03,-1.703961398000000008e-07,3.890420188000000019e-05
1.654774941000000058e-03,-5.024078041999999579e-04,7.321883015999999951e-07,1.849113914999999915e-03,-8.019209461000000354e-07,3.767351682000000067e-05
1.652635993000000107e-03,-5.005800437000000342e-04,4.034075550999999772e-07,1.900197066999999903e-03,-4.418275565999999786e-07,1.030554474999999958e-04
1.655199979999999980e-03,-4.944091518999999728e-04,2.819727924000000262e-07,1.946035213000000055e-03,2.616590893000000175e-07,9.410568031000000595e-05
1.647723824999999982e-03,-4.894752099000000082e-04,5.709405575999999817e-07,2.005349198000000097e-03,-3.320939917999999898e-07,2.280528720000000033e-04
1.645307311999999987e-03,-4.834571831000000221e-04,4.953904200000000323e-07,2.059512604000000077e-03,-2.881494051999999984e-07,2.864309659000000181e-04
1.657840434000000052e-03,-4.715134497000000131e-04,9.286801768000000448e-07,2.096170883000000006e-03,7.520601767000000207e-07,1.136128863999999992e-04
1.639294829000000064e-03,-4.587484940999999889e-04,1.803263239000000118e-07,2.166825483000000066e-03,-3.093184713999999724e-08,4.007353920999999746e-04
1.635331674999999972e-03,-4.460753838999999927e-04,8.287959028000000340e-07,2.224471630000000085e-03,-1.421655341999999977e-07,4.515199028000000119e-04
1.636353970999999919e-03,-4.320236255000000150e-04,3.365907573999999983e-07,2.275857675999999954e-03,2.103242937999999890e-07,4.231374142999999848e-04
1.648551579999999904e-03,-4.068186717000000173e-04,1.439196956000000098e-06,2.310057203999999961e-03,8.993059877000000171e-07,2.143996091000000025e-04
1.621231579999999955e-03,-3.781102409000000044e-04,6.332182379000000471e-07,2.384175448000000041e-03,-2.480879981000000054e-07,6.003143142999999926e-04
1.612721590999999927e-03,-3.449770434999999895e-04,4.640511084000000055e-07,2.428432761999999891e-03,-1.818101622000000068e-07,6.431429559999999506e-04
1.635207772000000018e-03,-3.070608538999999751e-04,1.745306461000000082e-06,2.426445951999999830e-03,1.197903870999999960e-06,1.991150243000000075e-04
1.630244016000000030e-03,-2.632304039999999973e-04,1.184789144000000081e-06,2.458193276000000208e-03,8.131887053999999855e-07,4.282367352000000251e-04
1.614026304000000045e-03,-2.171219179000000101e-04,8.028147756999999757e-07,2.500148059999999974e-03,-5.574934708000000521e-07,8.266403895999999531e-04
1.612924217999999951e-03,-1.714045752999999951e-04,2.367407786999999961e-07,2.514105465999999858e-03,2.400597727999999742e-07,7.599052518999999464e-04
1.636713687000000000e-03,-1.309317580999999956e-04,1.772593306999999945e-06,2.490453914999999924e-03,1.797444230000000078e-06,1.220802481999999915e-04
1.641521970999999976e-03,-8.547167441999999852e-05,1.034072559999999963e-06,2.497246252000000135e-03,1.048569770000000038e-06,5.414742642999999765e-04
1.642262476000000068e-03,-3.938705065999999953e-05,3.283542603000000052e-07,2.510276203000000143e-03,-3.195723307999999908e-07,1.090929739999999893e-03
1.647471815999999954e-03,-1.519459320000000050e-06,3.318086848999999775e-07,2.513751186999999953e-03,3.781141849000000079e-07,8.853639530999999783e-04
1.659887642999999897e-03,2.945398035999999861e-05,1.335419207999999962e-06,2.505045754000000038e-03,1.521783390000000080e-06,1.987532196999999997e-04
1.672151802000000024e-03,6.711775469000000197e-05,9.645738731999999715e-07,2.504233846999999891e-03,1.099184803000000032e-06,5.403158998000000051e-04
1.684356239000000047e-03,1.074159876999999951e-04,5.250790377000000067e-08,2.506530179000000021e-03,5.983563461000000471e-08,1.286743286000000073e-03
1.690263987999999964e-03,1.377492533000000056e-04,2.981305278000000029e-07,2.507593623999999910e-03,2.871034238999999813e-07,1.021362413999999915e-03
1.696138709000000015e-03,1.623030474000000027e-04,1.010274580999999895e-06,2.502117070000000037e-03,9.729070462999999846e-07,2.538048675000000010e-04
1.709976522000000070e-03,1.936003497000000125e-04,7.589942691999999602e-07,2.498829880000000107e-03,7.309209660999999619e-07,5.930559645000000419e-04
1.727638914999999904e-03,2.281364788000000130e-04,4.499268504999999766e-08,2.496594216999999984e-03,4.332851797000000110e-08,1.463894098999999911e-03
1.731205909000000038e-03,2.520133104999999936e-04,3.505160131000000027e-07,2.494173112000000123e-03,2.443449037000000192e-07,9.557828197000000064e-04
