gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.22835789600553383,00001,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
2,0.2226512648648958,00013,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
3,0.17981626841597712,00020,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
4,0.17423285562047242,00024,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
8,0.17150370657133376,00039,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
18,0.13167710442427166,00078,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
19,0.12214648695596754,00081,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
21,0.11852941280671092,00091,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
25,0.10966365667750057,00106,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
28,0.0940201505992028,00119,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
38,0.08505842119128189,00157,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
41,0.0770577228086932,00172,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
43,0.06878874135402242,00177,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
61,0.06819579517360341,00252,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
92,0.061017109489249405,00376,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
97,0.05934904924988137,00396,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.05934904924988137,00396,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
