gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,3.0256194910482663,00003,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
2,1.0000000000214029,00013,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
10,0.8077117166681794,00045,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
17,0.7563428361660471,00073,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
27,0.754522531171428,00115,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
60,0.9975615872883102,00212,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
68,0.8036957851036556,00276,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
85,0.7788739824407851,00346,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
86,0.9975615872883102,00212,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.9975615872883102,00212,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
