gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.03640305113872046,00005,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
2,0.03433584695153693,00015,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
4,0.03371535417645073,00022,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
6,0.03354280966797115,00032,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
7,0.033448464050436465,00036,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
8,0.03311132157058614,00038,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
9,0.03251682081744128,00043,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
11,0.03235727979994849,00049,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
24,0.03234588814380458,00103,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
25,0.0323455574227178,00105,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
26,0.03222841280354645,00109,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
30,0.03195628599922726,00127,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
31,0.03174829019437016,00129,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
36,0.03145612507235069,00149,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
41,0.031109699604174482,00169,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
50,0.03092015440960831,00206,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
53,0.030624072811340018,00218,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
54,0.030352520833708863,00221,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
58,0.03026294754413936,00238,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
62,0.029885668876936975,00254,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
65,0.02972198157593954,00267,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
72,0.02964323367823831,00296,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
80,0.029468503224326467,00326,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
81,0.029058281877020257,00331,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
90,0.029048247062956112,00368,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
91,0.029035619315555088,00371,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
98,0.028889599034205238,00398,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.028889599034205238,00398,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
