gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,2.798585616913067,00003,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
4,2.4245307714920648,00022,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
5,2.1486452507866867,00028,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
7,0.5238818374701066,00034,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
9,0.5237505501112417,00044,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
27,0.5217166507605192,00116,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
71,1.3041707097898454,00292,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
73,0.5265329269411578,00299,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
88,0.5251138965543285,00358,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
90,0.5213741965628864,00365,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.5163837334065887,00405,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
