# Large body (blockage 3/9) 
#
# The file contains PIV data for a turbulent pipe flow past a body of revolution on the centerline.
# Geometry of the body and details of the experiment can be found in:  
#
#   L. Ding, T. Saxton-Fox, M. Hultmark, and A. J. Smits 
#   Effects of pressure gradients and streamline curvature on the statistics of a turbulent pipe flow. 
#   In 11th International Symposium on Turbulence and Shear Flow Phenomena, Southampton, UK, 2019 
#
# Paramters of the fully-developed pipe flow upstream of the body: 
#
#   Pipe diameter, D = 38.1 mm 
#   Bulk velocity, Ub = 4.1 m/s 
#   Friction velocity, utau = 0.186 m/s 
#   Kinematic viscosity, nu = 1.0035e-06 m^2/s 
#   Bulk Reynolds number, Re_D = 156,000 
#   Friction Reynolds number, Re_tau = 3,550 
#
# In the data below, Ux and Ur are normalized by Ub, and <ux^2>, <ur^2> and <uxur> are normalized by utau^2. 
#
# x/R r/R y/R Ux Ur <ux^2> <ur^2> <uxur> 
-0.1000 0.6732 0.3268 1.0504 0.0350 2.9566 1.1980 0.5393 
-0.1000 0.6829 0.3171 1.0476 0.0359 3.0331 1.2168 0.5502 
-0.1000 0.6927 0.3073 1.0440 0.0354 3.0971 1.2300 0.5606 
-0.1000 0.7024 0.2976 1.0399 0.0337 3.1534 1.2394 0.5706 
-0.1000 0.7122 0.2878 1.0359 0.0324 3.2275 1.2536 0.5802 
-0.1000 0.7219 0.2781 1.0324 0.0321 3.2898 1.2661 0.5901 
-0.1000 0.7317 0.2683 1.0283 0.0314 3.3355 1.2740 0.6006 
-0.1000 0.7415 0.2585 1.0239 0.0300 3.3858 1.2771 0.6125 
-0.1000 0.7512 0.2488 1.0202 0.0290 3.4524 1.2793 0.6255 
-0.1000 0.7610 0.2390 1.0160 0.0279 3.5114 1.2895 0.6387 
-0.1000 0.7707 0.2293 1.0111 0.0263 3.5658 1.3000 0.6511 
-0.1000 0.7805 0.2195 1.0058 0.0245 3.6417 1.3094 0.6623 
-0.1000 0.7902 0.2098 1.0007 0.0235 3.7123 1.3239 0.6720 
-0.1000 0.8000 0.2000 0.9947 0.0223 3.7844 1.3349 0.6805 
-0.1000 0.8097 0.1903 0.9879 0.0203 3.8435 1.3407 0.6881 
-0.1000 0.8195 0.1805 0.9823 0.0191 3.8888 1.3448 0.6956 
-0.1000 0.8293 0.1707 0.9763 0.0179 3.9601 1.3512 0.7033 
-0.1000 0.8390 0.1610 0.9690 0.0166 4.0231 1.3603 0.7109 
-0.1000 0.8488 0.1512 0.9615 0.0161 4.1169 1.3641 0.7176 
-0.1000 0.8585 0.1415 0.9536 0.0157 4.2070 1.3612 0.7230 
-0.1000 0.8683 0.1317 0.9453 0.0151 4.2644 1.3539 0.7278 
-0.1000 0.8780 0.1220 0.9356 0.0137 4.3690 1.3468 0.7332 
-0.1000 0.8878 0.1122 0.9256 0.0122 4.4770 1.3534 0.7394 
-0.1000 0.8976 0.1024 0.9151 0.0114 4.5785 1.3619 0.7449 
-0.1000 0.9073 0.0927 0.9039 0.0105 4.6884 1.3643 0.7479 
-0.1000 0.9171 0.0829 0.8923 0.0094 4.7953 1.3622 0.7471 
-0.1000 0.9268 0.0732 0.8760 0.0082 4.9567 1.3440 0.7422 
-0.1000 0.9366 0.0634 0.8584 0.0068 5.0929 1.3056 0.7317 
-0.1000 0.9463 0.0537 0.8394 0.0056 5.2479 1.2649 0.7171 
-0.1000 0.9561 0.0439 0.8155 0.0046 5.4794 1.2554 0.6984 
-0.1000 0.9658 0.0342 0.7879 0.0038 5.8640 1.2511 0.6776 
-0.1000 0.9756 0.0244 0.7669 0.0039 6.2515 1.1650 0.6573 
0.0000 0.1463 0.8537 0.8788 0.3481 2.0409 11.1834 -0.4120 
0.0000 0.1561 0.8439 0.9093 0.3304 1.7745 10.1719 -0.2273 
0.0000 0.1659 0.8341 0.9357 0.3137 1.6035 8.2551 -0.0408 
0.0000 0.1756 0.8244 0.9582 0.2988 1.4696 6.4891 0.1159 
0.0000 0.1854 0.8146 0.9774 0.2847 1.3858 5.1318 0.2185 
0.0000 0.1951 0.8049 0.9947 0.2708 1.3233 4.1306 0.2718 
0.0000 0.2049 0.7951 1.0091 0.2583 1.2704 3.4009 0.2772 
0.0000 0.2146 0.7854 1.0216 0.2463 1.2486 2.8395 0.2633 
