# Medium body (blockage 2/9) 
#
# The file contains PIV data for a turbulent pipe flow past a body of revolution on the centerline.
# Geometry of the body and details of the experiment can be found in:  
#
#   L. Ding, T. Saxton-Fox, M. Hultmark, and A. J. Smits 
#   Effects of pressure gradients and streamline curvature on the statistics of a turbulent pipe flow. 
#   In 11th International Symposium on Turbulence and Shear Flow Phenomena, Southampton, UK, 2019 
#
# Paramters of the fully-developed pipe flow upstream of the body: 
#
#   Pipe diameter, D = 38.1 mm 
#   Bulk velocity, Ub = 4.1 m/s 
#   Friction velocity, utau = 0.186 m/s 
#   Kinematic viscosity, nu = 1.0035e-06 m^2/s 
#   Bulk Reynolds number, Re_D = 156,000 
#   Friction Reynolds number, Re_tau = 3,550 
#
# In the data below, Ux and Ur are normalized by Ub, and <ux^2>, <ur^2> and <uxur> are normalized by utau^2. 
#
# x/R r/R y/R Ux Ur <ux^2> <ur^2> <uxur> 
-0.1000 0.0099 0.9901 0.9079 0.0144 14.5002 0.8891 -3.0369 
-0.1000 0.0396 0.9604 0.9206 0.0524 12.5207 2.1417 -3.4063 
-0.1000 0.0495 0.9505 0.9260 0.0646 11.0438 2.6117 -3.6930 
-0.1000 0.0593 0.9407 0.9342 0.0754 9.2999 2.9268 -3.8233 
-0.1000 0.0692 0.9308 0.9439 0.0845 7.6858 3.1250 -3.7712 
-0.1000 0.0791 0.9209 0.9543 0.0923 6.4067 3.2902 -3.5836 
-0.1000 0.0890 0.9110 0.9649 0.0990 5.3183 3.4219 -3.2823 
-0.1000 0.0989 0.9011 0.9756 0.1046 4.4241 3.4760 -2.9401 
-0.1000 0.1088 0.8912 0.9868 0.1097 3.6712 3.3794 -2.5789 
-0.1000 0.1187 0.8813 0.9984 0.1130 3.0370 3.2308 -2.2165 
-0.1000 0.1286 0.8714 1.0097 0.1152 2.5679 3.0756 -1.8684 
-0.1000 0.1385 0.8615 1.0197 0.1167 2.2030 2.8574 -1.5467 
-0.1000 0.1484 0.8516 1.0288 0.1171 1.9270 2.6098 -1.2588 
-0.1000 0.1583 0.8417 1.0378 0.1170 1.7101 2.3762 -1.0080 
-0.1000 0.1681 0.8319 1.0464 0.1172 1.5569 2.1928 -0.7937 
-0.1000 0.1780 0.8220 1.0551 0.1176 1.4666 2.0156 -0.6126 
-0.1000 0.1879 0.8121 1.0630 0.1170 1.3920 1.8130 -0.4612 
-0.1000 0.1978 0.8022 1.0698 0.1143 1.3382 1.6414 -0.3360 
-0.1000 0.2077 0.7923 1.0761 0.1108 1.3110 1.5133 -0.2343 
-0.1000 0.2176 0.7824 1.0820 0.1080 1.2953 1.4152 -0.1525 
-0.1000 0.2275 0.7725 1.0869 0.1055 1.2947 1.3364 -0.0870 
-0.1000 0.2374 0.7626 1.0915 0.1035 1.3061 1.2750 -0.0343 
-0.1000 0.2473 0.7527 1.0955 0.1020 1.3216 1.2199 0.0085 
-0.1000 0.2572 0.7428 1.0993 0.1001 1.3491 1.1664 0.0434 
-0.1000 0.2671 0.7329 1.1033 0.0979 1.3734 1.1337 0.0721 
-0.1000 0.2769 0.7231 1.1066 0.0954 1.3938 1.1030 0.0960 
-0.1000 0.2868 0.7132 1.1095 0.0927 1.4162 1.0710 0.1169 
-0.1000 0.2967 0.7033 1.1118 0.0899 1.4432 1.0449 0.1356 
-0.1000 0.3066 0.6934 1.1134 0.0868 1.4834 1.0184 0.1525 
-0.1000 0.3165 0.6835 1.1147 0.0835 1.5140 1.0009 0.1679 
-0.1000 0.3264 0.6736 1.1157 0.0806 1.5469 0.9863 0.1821 
-0.1000 0.3363 0.6637 1.1165 0.0780 1.5953 0.9713 0.1953 
-0.1000 0.3462 0.6538 1.1171 0.0757 1.6339 0.9600 0.2076 
-0.1000 0.3561 0.6439 1.1176 0.0735 1.6600 0.9570 0.2189 
-0.1000 0.3660 0.6340 1.1178 0.0712 1.6939 0.9546 0.2295 
-0.1000 0.3759 0.6241 1.1176 0.0692 1.7389 0.9561 0.2397 
-0.1000 0.3857 0.6143 1.1175 0.0676 1.7834 0.9636 0.2496 
-0.1000 0.3956 0.6044 1.1175 0.0661 1.8173 0.9655 0.2592 
-0.1000 0.4055 0.5945 1.1170 0.0642 1.8591 0.9617 0.2688 
-0.1000 0.4154 0.5846 1.1163 0.0617 1.9052 0.9583 0.2784 
-0.1000 0.4253 0.5747 1.1154 0.0591 1.9442 0.9743 0.2883 
-0.1000 0.4352 0.5648 1.1144 0.0571 1.9769 0.9889 0.2990 
-0.1000 0.4451 0.5549 1.1133 0.0559 2.0072 0.9916 0.3108 
-0.1000 0.4550 0.5450 1.1123 0.0549 2.0494 0.9988 0.3230 
-0.1000 0.4649 0.5351 1.1110 0.0536 2.0966 1.0047 0.3349 
-0.1000 0.4748 0.5252 1.1091 0.0520 2.1297 1.0140 0.3461 
-0.1000 0.4847 0.5153 1.1073 0.0505 2.1542 1.0266 0.3567 
-0.1000 0.4945 0.5055 1.1058 0.0494 2.1829 1.0330 0.3672 
-0.1000 0.5044 0.4956 1.1041 0.0479 2.2338 1.0376 0.3780 
-0.1000 0.5143 0.4857 1.1022 0.0463 2.2806 1.0466 0.3892 
-0.1000 0.5242 0.4758 1.0999 0.0449 2.3182 1.0570 0.4009 
-0.1000 0.5341 0.4659 1.0978 0.0434 2.3700 1.0696 0.4129 
-0.1000 0.5440 0.4560 1.0955 0.0415 2.4271 1.0822 0.4251 
-0.1000 0.5539 0.4461 1.0930 0.0401 2.4842 1.0943 0.4371 
-0.1000 0.5638 0.4362 1.0905 0.0394 2.5347 1.1093 0.4485 
-0.1000 0.5737 0.4263 1.0874 0.0385 2.5862 1.1235 0.4593 
-0.1000 0.5836 0.4164 1.0844 0.0375 2.6385 1.1415 0.4696 
-0.1000 0.5935 0.4065 1.0813 0.0364 2.6864 1.1527 0.4793 
-0.1000 0.6033 0.3967 1.0782 0.0348 2.7343 1.1579 0.4885 
-0.1000 0.6132 0.3868 1.0755 0.0326 2.7746 1.1677 0.4978 
-0.1000 0.6231 0.3769 1.0727 0.0311 2.8167 1.1780 0.5077 
-0.1000 0.6330 0.3670 1.0693 0.0300 2.8684 1.1876 0.5183 
-0.1000 0.6429 0.3571 1.0651 0.0280 2.9233 1.2035 0.5295 
-0.1000 0.6528 0.3472 1.0606 0.0261 2.9759 1.2200 0.5410 
-0.1000 0.6627 0.3373 1.0562 0.0249 3.0250 1.2302 0.5525 
-0.1000 0.6726 0.3274 1.0519 0.0246 3.0890 1.2394 0.5640 
-0.1000 0.6825 0.3175 1.0480 0.0253 3.1563 1.2535 0.5756 
-0.1000 0.6924 0.3076 1.0444 0.0256 3.2088 1.2676 0.5866 
-0.1000 0.7023 0.2977 1.0408 0.0253 3.2843 1.2802 0.5966 
-0.1000 0.7121 0.2879 1.0366 0.0244 3.3593 1.2890 0.6051 
-0.1000 0.7220 0.2780 1.0324 0.0231 3.4114 1.2972 0.6128 
-0.1000 0.7319 0.2681 1.0288 0.0217 3.4802 1.3069 0.6209 
-0.1000 0.7418 0.2582 1.0252 0.0211 3.5391 1.3062 0.6302 
-0.1000 0.7517 0.2483 1.0214 0.0205 3.5978 1.3087 0.6409 
-0.1000 0.7616 0.2384 1.0172 0.0197 3.6717 1.3190 0.6525 
-0.1000 0.7715 0.2285 1.0120 0.0188 3.7428 1.3346 0.6645 
-0.1000 0.7814 0.2186 1.0056 0.0180 3.8121 1.3471 0.6763 
-0.1000 0.7913 0.2087 0.9997 0.0180 3.8799 1.3469 0.6878 
-0.1000 0.8012 0.1988 0.9933 0.0164 3.9583 1.3567 0.6995 
-0.1000 0.8111 0.1889 0.9864 0.0144 4.0255 1.3702 0.7115 
-0.1000 0.8209 0.1791 0.9801 0.0139 4.0795 1.3789 0.7235 
-0.1000 0.8308 0.1692 0.9733 0.0135 4.1385 1.3870 0.7352 
-0.1000 0.8407 0.1593 0.9656 0.0134 4.2112 1.3892 0.7458 
-0.1000 0.8506 0.1494 0.9571 0.0128 4.3337 1.3910 0.7544 
-0.1000 0.8605 0.1395 0.9493 0.0117 4.4352 1.3893 0.7604 
-0.1000 0.8704 0.1296 0.9411 0.0108 4.5145 1.3801 0.7644 
-0.1000 0.8803 0.1197 0.9312 0.0101 4.6342 1.3719 0.7680 
-0.1000 0.8902 0.1098 0.9209 0.0093 4.7128 1.3780 0.7722 
-0.1000 0.9001 0.0999 0.9094 0.0084 4.8152 1.3951 0.7761 
-0.1000 0.9100 0.0900 0.8975 0.0073 4.9372 1.3968 0.7774 
-0.1000 0.9198 0.0802 0.8845 0.0065 5.0620 1.3765 0.7744 
-0.1000 0.9297 0.0703 0.8684 0.0056 5.2037 1.3516 0.7654 
-0.1000 0.9396 0.0604 0.8500 0.0045 5.3297 1.3139 0.7489 
-0.1000 0.9495 0.0505 0.8272 0.0040 5.6133 1.2855 0.7270 
-0.1000 0.9594 0.0406 0.8010 0.0034 5.8901 1.2891 0.7004 
-0.1000 0.9693 0.0307 0.7689 0.0027 6.4779 1.2359 0.6728 
-0.1000 0.9792 0.0208 0.7503 0.0026 6.7244 1.1510 0.6476 
0.0000 0.1385 0.8615 0.9311 0.3197 2.0702 11.9551 0.2264 
0.0000 0.1484 0.8516 0.9600 0.3014 1.8852 10.1536 0.3557 
0.0000 0.1583 0.8417 0.9853 0.2841 1.7277 7.8732 0.4712 
0.0000 0.1681 0.8319 1.0067 0.2696 1.5994 5.9696 0.5481 
0.0000 0.1780 0.8220 1.0238 0.2560 1.5323 4.6312 0.5733 
0.0000 0.1879 0.8121 1.0388 0.2419 1.4684 3.6929 0.5585 
0.0000 0.1978 0.8022 1.0520 0.2292 1.4182 3.0277 0.5111 
0.0000 0.2077 0.7923 1.0640 0.2164 1.3802 2.5027 0.4559 
0.0000 0.2176 0.7824 1.0739 0.2032 1.3574 2.0882 0.4036 
0.0000 0.2275 0.7725 1.0826 0.1914 1.3501 1.8177 0.3585 
0.0000 0.2374 0.7626 1.0909 0.1816 1.3448 1.6130 0.3219 
0.0000 0.2473 0.7527 1.0977 0.1733 1.3479 1.4422 0.2937 
0.0000 0.2572 0.7428 1.1036 0.1652 1.3574 1.3089 0.2728 
0.0000 0.2671 0.7329 1.1086 0.1571 1.3720 1.2088 0.2580 
0.0000 0.2769 0.7231 1.1122 0.1496 1.3977 1.1393 0.2478 
0.0000 0.2868 0.7132 1.1154 0.1426 1.4222 1.0860 0.2411 
0.0000 0.2967 0.7033 1.1184 0.1364 1.4505 1.0501 0.2368 
