gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.2369085330953072,00002,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
4,0.22994939923503482,00021,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
6,0.22323542393709891,00030,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
9,0.22134735291899774,00044,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
10,0.2197753520327359,00045,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
11,0.1841861624652445,00049,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
13,0.18365128921296864,00057,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
28,0.17172882820019303,00119,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
55,0.16699852173066768,00226,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
63,0.1668339056391428,00259,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
83,0.1660811301841824,00340,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
85,0.1651735467478544,00346,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.1651735467478544,00346,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
