12.1667 0.9790 0.0210 0.7279 0.0017 5.6856 0.4805 0.6391 
12.1667 0.9685 0.0315 0.7776 -0.0010 5.9965 0.6917 0.7937 
12.1667 0.9580 0.0420 0.8150 -0.0033 6.1975 0.7946 0.8817 
12.1667 0.9475 0.0525 0.8460 -0.0046 6.2563 0.8200 0.9096 
12.1667 0.9370 0.0630 0.8731 -0.0053 6.2735 0.8646 0.9386 
12.1667 0.9265 0.0735 0.8971 -0.0053 6.2546 0.9219 0.9714 
12.1667 0.9160 0.0840 0.9173 -0.0045 6.1855 0.9462 0.9862 
12.1667 0.9055 0.0945 0.9352 -0.0051 6.0699 0.9476 0.9857 
12.1667 0.8950 0.1050 0.9525 -0.0069 5.9528 0.9588 0.9846 
12.1667 0.8845 0.1155 0.9681 -0.0085 5.8812 0.9890 0.9948 
12.1667 0.8740 0.1260 0.9815 -0.0103 5.8175 1.0174 1.0079 
12.1667 0.8635 0.1365 0.9941 -0.0110 5.7095 1.0188 1.0079 
12.1667 0.8530 0.1470 1.0066 -0.0102 5.5714 1.0039 0.9999 
12.1667 0.8425 0.1575 1.0184 -0.0108 5.4189 0.9915 0.9851 
12.1667 0.8320 0.1680 1.0293 -0.0140 5.2538 0.9718 0.9528 
12.1667 0.8215 0.1785 1.0395 -0.0169 5.0933 0.9587 0.9141 
12.1667 0.8110 0.1890 1.0489 -0.0176 4.9487 0.9515 0.8841 
12.1667 0.8005 0.1995 1.0572 -0.0184 4.8159 0.9314 0.8635 
12.1667 0.7900 0.2100 1.0649 -0.0188 4.6908 0.9027 0.8489 
12.1667 0.7795 0.2205 1.0726 -0.0178 4.5637 0.8736 0.8304 
12.1667 0.7690 0.2310 1.0805 -0.0177 4.4190 0.8384 0.7991 
12.1667 0.7585 0.2415 1.0879 -0.0192 4.2709 0.8141 0.7738 
12.1667 0.7480 0.2520 1.0945 -0.0210 4.1324 0.8141 0.7578 
12.1667 0.7375 0.2625 1.1015 -0.0227 3.9999 0.8207 0.7368 
12.1667 0.7270 0.2730 1.1087 -0.0247 3.8695 0.8217 0.7157 
12.1667 0.7165 0.2835 1.1154 -0.0266 3.7321 0.8128 0.6979 
12.1667 0.7060 0.2940 1.1212 -0.0279 3.5877 0.7884 0.6752 
12.1667 0.6955 0.3045 1.1260 -0.0287 3.4541 0.7592 0.6478 
12.1667 0.6850 0.3150 1.1302 -0.0294 3.3426 0.7420 0.6265 
12.1667 0.6745 0.3255 1.1347 -0.0299 3.2377 0.7355 0.6128 
12.1667 0.6640 0.3360 1.1399 -0.0301 3.1224 0.7241 0.5984 
12.1667 0.6535 0.3465 1.1444 -0.0301 3.0039 0.6998 0.5811 
12.1667 0.6430 0.3570 1.1474 -0.0311 2.8885 0.6717 0.5600 
12.1667 0.6325 0.3675 1.1501 -0.0329 2.7727 0.6476 0.5327 
12.1667 0.6220 0.3780 1.1534 -0.0352 2.6655 0.6249 0.5058 
12.1667 0.6115 0.3885 1.1570 -0.0374 2.5703 0.6061 0.4852 
12.1667 0.6010 0.3990 1.1608 -0.0387 2.4803 0.5944 0.4700 
12.1667 0.5906 0.4094 1.1654 -0.0395 2.3968 0.5896 0.4605 
12.1667 0.5801 0.4199 1.1702 -0.0411 2.3210 0.5911 0.4511 
12.1667 0.5696 0.4304 1.1739 -0.0438 2.2542 0.5897 0.4342 
12.1667 0.5591 0.4409 1.1765 -0.0468 2.1923 0.5833 0.4095 
12.1667 0.5486 0.4514 1.1785 -0.0491 2.1343 0.5711 0.3850 
12.1667 0.5381 0.4619 1.1802 -0.0509 2.0791 0.5544 0.3613 
12.1667 0.5276 0.4724 1.1816 -0.0519 2.0238 0.5376 0.3384 
12.1667 0.5171 0.4829 1.1832 -0.0527 1.9688 0.5201 0.3153 
12.1667 0.5066 0.4934 1.1853 -0.0544 1.9147 0.5029 0.2895 
12.1667 0.4961 0.5039 1.1873 -0.0567 1.8609 0.4887 0.2605 
12.1667 0.4856 0.5144 1.1889 -0.0583 1.8024 0.4765 0.2274 
12.1667 0.4751 0.5249 1.1903 -0.0599 1.7395 0.4663 0.1914 
12.1667 0.4646 0.5354 1.1911 -0.0627 1.6867 0.4570 0.1560 
12.1667 0.4541 0.5459 1.1908 -0.0658 1.6424 0.4475 0.1202 
12.1667 0.4436 0.5564 1.1890 -0.0674 1.6020 0.4394 0.0824 
12.1667 0.4331 0.5669 1.1861 -0.0692 1.5689 0.4363 0.0387 
12.1667 0.4226 0.5774 1.1833 -0.0726 1.5414 0.4348 -0.0055 
12.1667 0.4121 0.5879 1.1806 -0.0764 1.5245 0.4344 -0.0488 
12.1667 0.4016 0.5984 1.1770 -0.0798 1.5236 0.4378 -0.0999 
12.1667 0.3911 0.6089 1.1720 -0.0827 1.5445 0.4467 -0.1541 
12.1667 0.3806 0.6194 1.1656 -0.0858 1.5895 0.4579 -0.2095 
12.1667 0.3701 0.6299 1.1584 -0.0899 1.6560 0.4684 -0.2648 
12.1667 0.3596 0.6404 1.1507 -0.0935 1.7448 0.4784 -0.3222 
12.1667 0.3491 0.6509 1.1418 -0.0957 1.8448 0.4909 -0.3780 
12.1667 0.3386 0.6614 1.1309 -0.0978 1.9535 0.5061 -0.4315 
12.1667 0.3281 0.6719 1.1179 -0.0997 2.0716 0.5219 -0.4825 
12.1667 0.3176 0.6824 1.1032 -0.1015 2.1920 0.5400 -0.5275 
12.1667 0.3071 0.6929 1.0874 -0.1043 2.3058 0.5623 -0.5700 
12.1667 0.2966 0.7034 1.0698 -0.1081 2.4082 0.5860 -0.6146 
