-1.0000  0.0099  -3.0369
-0.1000  0.0099  -3.0369
0.0000   0.1385  0.2264
0.1000   0.1811  0.4056
0.2000   0.2140  0.0738
0.3000   0.2333  0.1193
0.4000   0.2651  0.1363
0.5000   0.2921  0.1363
0.6000   0.3156  0.1510
0.7000   0.3364  0.1382
0.8000   0.3548  0.1458
0.9000   0.3714  0.1344
1.0000   0.3863  0.1433
1.1000   0.3998  0.1419
2.1700   0.5013  -0.0225
4.1700   0.5013  -0.0225
4.2700   0.5013  -0.0699
4.3700   0.5013  -0.1280
4.4700   0.5013  -0.1736
4.5700   0.5013  -0.2068
4.6700   0.5013  -0.2746
4.7700   0.5013  -0.3450
4.8700   0.5013  -0.3920
4.9700   0.5013  -0.4352
5.0700   0.5013  -0.3407
5.1700   0.5013  -0.4084
5.2700   0.5013  -0.4612
5.3700   0.5013  -0.5076
5.4700   0.5013  -0.5523
8.6667   0.4961  -0.6865
8.9167   0.4961  -0.7404
9.1667   0.4961  -0.7341
9.4167   0.4961  -0.7802
9.6667   0.4961  -0.8121
9.9167   0.4961  -0.7602
10.1667  0.4961  -0.6613
10.4167  0.4961  -0.7309
10.6667  0.4961  -0.7376
10.9167  0.4961  -0.8670
11.1667  0.4856  -0.9464
11.4167  0.4646  -0.939
11.6667  0.4226  -0.8432
11.9167  0.3701  -0.9470
12.1667  0.2966  -1.0464
12.4167  0.1811  -0.8971
12.6667  0.0236  -0.1209
12.9167  0.0236  -0.1940
13.1667  0.0236  -0.1992
13.4167  0.0236  -0.1810
13.6667  0.0236  -0.1989
13.9167  0.0236  -0.1955
14.1667  0.0236  -0.1771
14.4167  0.0236  -0.1672
14.6667  0.0236  -0.1767
14.9167  0.0236  -0.2081
15.1667  0.0236  -0.1984
15.4167  0.0236  -0.1953
15.6667  0.0236  -0.1890
15.9167  0.0236  -0.1752
16.1667  0.0236  -0.1430
16.4167  0.0236  -0.1941
