gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.03870906491322407,00141,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
2,0.038692730031607815,00198,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
3,0.03673842751331658,00230,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
7,0.036736884343341415,00417,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
8,0.03672977852059585,00491,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
9,0.03672545820090172,00538,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
10,0.03464959239819633,00590,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
12,0.03462824619541525,00690,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
14,0.03370057061435483,00777,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
17,0.032998938439054847,00919,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
19,0.03262863356361007,00999,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
21,0.030904307822008373,01105,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
22,0.030903274053486904,01156,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
28,0.030901201494654328,01481,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
29,0.029233898848700198,01543,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
30,0.022135847421653736,01562,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
32,0.022116170591717665,01663,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
35,0.02146150347303559,01818,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
37,0.021088764196476036,01916,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
43,0.021079338595172938,02231,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
44,0.021050668610558477,02252,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
45,0.020650483513067513,02309,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
50,0.020643313549487508,02562,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
51,0.020623061786363958,02607,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
52,0.020618784625130355,02644,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
53,0.020598923283573763,02692,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
55,0.020476528543359816,02805,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
58,0.02047216312397373,02973,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
59,0.020460533057275243,03010,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
60,0.020427246281640398,03062,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
61,0.020420014190349296,03110,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
64,0.020036770372877325,03234,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
69,0.020036597858960174,03503,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
70,0.020017669109019653,03523,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
71,0.019777850526106124,03595,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
72,0.019777085432918735,03646,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
74,0.01977647247609093,03730,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
76,0.019768133731275044,03838,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
77,0.019703212880100452,03873,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
78,0.019468853920640773,03919,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
79,0.019445655562513903,03982,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
81,0.014334720998932564,04069,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
85,0.014264862929426214,04229,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
86,0.014261222982831452,04314,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
87,0.01419306410691853,04346,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
88,0.014180495288366984,04397,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
90,0.014047708823210877,04473,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
91,0.013973199155318796,04537,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
93,0.013714090124004073,04616,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
96,0.013423442968055727,04778,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
99,0.01323321048652937,04947,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
100,0.013232617404217502,04961,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
