gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.014013389213048502,00060,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
2,0.014011056615711105,00199,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
13,0.013975951281302074,00731,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
15,0.013851462332312124,00837,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
21,0.01384808019254943,01100,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
23,0.013847541401515121,01209,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
26,0.013838372536371737,01380,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
27,0.013830114493895316,01406,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
28,0.013800083169553654,01453,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
29,0.013798733578024977,01521,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
31,0.01379299045463265,01614,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
32,0.013730159539166231,01655,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
33,0.013592701672834334,01712,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
40,0.013590849806360503,02051,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
43,0.013557859758917833,02202,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
44,0.013524540379083598,02246,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
46,0.013508087968989032,02350,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
48,0.013471453987268681,02452,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
51,0.013412493549047659,02613,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
52,0.013383174986670656,02676,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
56,0.013310804314755465,02870,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
59,0.013304167687738806,03026,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
62,0.01326574967092217,03139,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
63,0.013205085987921219,03208,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
64,0.013139926237484719,03277,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
70,0.013135239046288898,03575,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
72,0.01312166080203919,03665,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
74,0.013090917823322907,03734,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
76,0.01307801140537856,03867,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
77,0.013076227333014754,03907,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
81,0.013075389192994087,04091,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
82,0.013069941174841318,04172,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
84,0.013036775049497698,04257,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
87,0.013029440798750635,04417,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
92,0.013011221704875122,04643,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
97,0.013001535844357434,04904,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
98,0.012995363676459714,04938,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
100,0.012995363676459714,04938,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
