gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.5988153139944221,00003,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
8,0.595157483944329,00038,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
10,0.5878380236836134,00045,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
17,0.5872280140121581,00075,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
19,0.5480878248290559,00084,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
20,0.541267245204434,00085,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
27,0.5398821133457732,00116,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
31,0.5182973440787397,00130,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
43,0.5183075515619304,00174,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
45,0.5134142148491968,00188,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
70,0.5067660348687097,00286,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.5067660348687097,00286,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
