gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.27369781753745837,00003,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
8,0.27314515024336383,00038,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
11,0.27211415927469823,00050,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
14,0.1855382854910621,00062,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
21,0.15892339793749163,00089,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
30,0.15883844463513797,00128,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
32,0.1572964601209163,00134,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
40,0.1567759157214463,00167,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
41,0.15672291704137642,00172,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
74,0.15670691689215654,00299,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
77,0.1566611765761727,00312,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
82,0.15640964356512926,00332,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.15640964356512926,00332,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
