gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.6173412544070392,00024,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
7,0.6164341927077054,00432,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
9,0.6162171767738622,00513,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
10,0.6143230388752564,00577,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
14,0.6103595437440064,00763,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
16,0.578659608601873,00856,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
23,0.564162101963121,01201,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
26,0.5526811593642811,01393,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
47,0.5526454382374795,02441,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
48,0.5526038934061646,02446,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
57,0.5509298767417233,02897,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
63,0.5499047441807023,03240,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
67,0.5487596470395903,03431,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
79,0.5484988804299346,04022,100,2,50,0.3,0.45,0.45,0.0,0.0,0.0,0.0,0
