gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,1.9348021017664385,00003,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
3,1.0336498163421468,00017,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
5,1.0326258194253695,00026,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
27,1.03248125366733,00115,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
35,1.0324811172107147,00147,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
49,1.0322899585539966,00202,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
54,1.032286825335151,00223,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
58,1.0322362588270693,00238,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
59,1.0311203583280348,00242,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
95,1.0301119947809583,00386,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,1.0301119947809583,00386,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
