gen,minFit,best_run_id,pop_size,tsize,msize,pmut,ponec,ptwoc,pinv,pblo,pgswap,piswap,seed
1,0.2917154659900449,00009,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
2,0.28452675921902276,00013,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
5,0.23637526679263332,00025,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
16,0.23358555247830648,00070,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
29,0.2329813072603527,00122,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
41,0.23267092478550722,00169,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
52,0.2300615275952978,00215,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
55,0.2298330088537587,00224,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
60,0.22979365516670716,00245,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
76,0.2297482436576576,00308,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
100,0.2297482436576576,00308,8,3,4,0.9,0.75,0.45,0.0,0.0,0.0,0.0,0
